s_norm,mean,p2.5,p97.5
0.0,0.0,0.0,0.0
0.005025125628140704,0.25046266913138504,-1.2067098491016122,1.8428624865886818
0.010050251256281407,0.5017811492723879,-2.455356332427057,3.7077297298863114
0.01507537688442211,0.7527475560856856,-3.7512286395497427,5.593954202598138
0.020100502512562814,1.0016677292209262,-5.100208230078378,7.500609272750697
0.02512562814070352,1.2461186571418315,-6.509259130484627,9.426474969406744
0.03015075376884422,1.4829148622213664,-7.986595918207109,11.370027307933322
0.035175879396984924,1.7080565700056705,-9.540713166374587,13.516820405087842
0.04020100502512563,1.9167253597560092,-11.181783490729046,15.833431441920645
0.04522613065326633,2.1039250295638516,-12.920894881457318,18.281412248717437
0.05025125628140704,2.265565624521736,-14.788741642686748,20.85721076211878
0.05527638190954774,2.4000602337693295,-17.123038119327866,23.52912074127983
0.06030150753768844,2.5073034317271494,-19.54226221740531,26.21870660910467
0.06532663316582915,2.585292160322689,-21.960803957118305,28.7946844661916
0.07035175879396985,2.6127187801641707,-24.381349427881336,31.099591073281818
0.07537688442211056,2.5832014824465555,-26.83971600843368,33.07768402030149
0.08040201005025126,2.558204174184532,-29.31833435397399,35.02501645056396
0.08542713567839195,2.5527903577854554,-31.769676766160043,37.03626176472615
0.09045226130653267,2.5780595804624427,-34.1145355096268,39.175535842336025
0.09547738693467336,2.651286539067969,-36.24617259066744,41.442750285444504
0.10050251256281408,2.7827136466700066,-38.35602079706536,43.83276789171698
0.10552763819095477,2.9717302925441555,-40.1099191831808,46.33431206913015
0.11055276381909548,3.1775400064677957,-41.821918169096534,48.929648043578545
0.11557788944723618,3.3849873812669427,-43.55282218115365,51.59483159782633
0.12060301507537688,3.5865313291239667,-45.28603119628461,54.30143369651031
0.12562814070351758,3.7824839297619444,-47.00199114866349,56.98579058789305
0.1306532663316583,3.9715476652045134,-48.679957810303534,59.543991889414244
0.135678391959799,4.146767932296781,-50.36080734771936,61.950089821424164
0.1407035175879397,4.2984691260597705,-52.081572466556985,64.21222488263234
0.1457286432160804,4.447001616590629,-53.842381030304765,66.35931333461471
0.15075376884422112,4.598574073628254,-55.6430896181637,68.40083479893043
0.15577889447236182,4.759241783903885,-57.48316000836207,70.34562531191621
0.16080402010050251,4.927378611424657,-59.361596812903876,72.20209872987294
0.1658291457286432,5.099678583595102,-61.27607101721267,73.97813022348436
0.1708542713567839,5.280978577936082,-63.21388970972829,75.68488426134275
0.17587939698492464,5.476160625542899,-65.15549811679179,77.35877709848391
0.18090452261306533,5.681120809691466,-67.08023279931969,79.00547991698491
0.18592964824120603,5.892702620232317,-68.96745215960635,80.62125706711672
0.19095477386934673,6.114815730767149,-70.79796190370509,82.20197534969708
0.19597989949748745,6.354259104388808,-72.55559980449989,83.80065256141235
0.20100502512562815,6.616996743921294,-74.22782241179802,85.44923100434438
0.20603015075376885,6.902791770646109,-75.81449509454497,87.14060568199066
0.21105527638190955,7.20411180026873,-77.34337284696826,88.86838013692675
0.21608040201005024,7.523064629164964,-78.81729313728874,90.62408269833152
0.22110552763819097,7.866330920332465,-80.23835274665456,92.39925671081706
0.22613065326633167,8.237953716606606,-81.6241251010445,94.19781829493056
0.23115577889447236,8.637339678633039,-82.99280630502052,96.02293295995948
0.23618090452261306,9.065693937624948,-84.35417257700307,97.87698824585583
0.24120603015075376,9.517868735873515,-85.71557717613682,99.76134982462851
0.24623115577889448,9.982172777057924,-87.08286611379927,101.67631472851065
0.25125628140703515,10.437502629757518,-88.46105330419053,103.5510492389276
0.2562814070351759,10.86563845862659,-89.8549730530354,105.3343250843889
0.2613065326633166,11.253458278566704,-91.26977536515007,107.04982529372556
0.2663316582914573,11.607669057104347,-92.71147605971557,108.74115234002778
0.271356783919598,11.934123097834657,-94.18779532635688,110.41061443161642
0.2763819095477387,12.238476808721874,-95.71079209380925,112.05667487713444
0.2814070351758794,12.523156768431951,-97.29737137619739,113.67527020728959
0.2864321608040201,12.794740666563898,-98.96972180317411,115.26010620908455
0.2914572864321608,13.054058032899494,-100.72866135945071,116.80292166289269
0.2964824120603015,13.298379321989911,-102.57037387175819,118.29418770159798
0.30150753768844224,13.525504943579733,-104.49744243619772,119.7234041264868
0.3065326633165829,13.755781124568763,-106.52741327349072,121.097895297791
0.31155778894472363,14.00611876831445,-108.6019672281153,122.4963588628948
0.3165829145728643,14.278495315377276,-110.7508692135403,123.93022564344082
0.32160804020100503,14.573052187633726,-112.95543391197111,125.40393325375024
0.32663316582914576,14.88809336867735,-115.18621423549862,126.92008774276913
0.3316582914572864,15.215456651886578,-117.41573697306504,128.48000458064163
0.33668341708542715,15.5543810587348,-119.61485673958747,130.08344271616585
0.3417085427135678,15.897237097928997,-121.80807971678121,131.72883689025508
0.34673366834170855,16.23448250770815,-124.01841647765352,133.4136286414743
0.35175879396984927,16.5562271595633,-126.2173401534416,135.13391569277653
0.35678391959798994,16.864140031473358,-128.38713301681835,136.8846615446737
0.36180904522613067,17.161757927449006,-130.51580185342328,138.6604102579547
0.36683417085427134,17.449838417985703,-132.5934783668629,140.41740044299394
0.37185929648241206,17.727398699386317,-134.61297385925747,142.1574016807624
0.3768844221105528,18.003167088080225,-136.56963157559719,143.89516928477136
0.38190954773869346,18.292117238364106,-138.46112890943104,145.64645308120086
0.3869346733668342,18.602471999895176,-140.28974949311785,147.42904908313832
0.3919597989949749,18.93957641819169,-142.08302375086262,149.26455996809318
0.3969849246231156,19.309089235016497,-143.85213507732627,151.18109624771378
0.4020100502512563,19.715004315035053,-145.6009850621496,153.2117006369347
