s_abs,Reference κ(s) integral,Polyline-κ baseline,Chord–Sagitta baseline (const κ)
0.0,0.0,0.0,0.0
0.1257142180744941,-0.3012146515774127,0.21866676147804126,0.880374446581025
0.2514284361489882,-0.6074948933827246,0.5246618709795108,1.76074889316205
0.37714265422348225,-0.9190210187669451,0.8360671281999317,2.641123339743075
0.5028568722979764,-1.2359817987045763,1.1529507829565575,3.5214977863241
0.6285710903724705,-1.5585750149723414,1.4753834152816614,4.401872232905125
0.7542853084469645,-1.8870080360843544,1.8039745167575592,5.28224667948615
0.8799995265214586,-2.2215724735745837,2.1390536306439993,6.162621126067175
1.0057137445959528,-2.562455499143067,2.479692131292168,7.0429955726482
1.1314279626704469,-2.9098938125216796,2.8262086103336577,7.923370019229226
1.257142180744941,-3.264142017351287,3.1820473872634505,8.80374446581025
1.3828563988194351,-3.625480139223552,3.542944020138749,9.684118912391275
1.508570616893929,-3.994396469361791,3.9109319427434723,10.5644933589723
1.6342848349684231,-4.3710100422920855,4.288835301094297,11.444867805553326
1.7599990530429173,-4.755751883539378,4.672982781314548,12.32524225213435
1.8857132711174114,-5.1490781929629605,5.066363669491526,13.205616698715376
2.0114274891919055,-5.551282163280303,5.468605219574824,14.0859911452964
2.1371417072663994,-5.962936883469935,5.881528983202033,14.966365591877425
2.2628559253408937,-6.384486566378928,6.300037050671338,15.846740038458451
2.3885701434153876,-6.816383308355648,6.735204891182262,16.727114485039476
2.514284361489882,-7.259369920428699,7.178273632201072,17.6074889316205
2.639998579564376,-7.714032049388513,7.631750501277687,18.487863378201524
2.7657127976388702,-8.181025055053782,8.098549910689012,19.36823782478255
2.891427015713364,-8.661140926063807,8.579030588280121,20.248612271363577
3.017141233787858,-9.155243121421186,9.073579182146355,21.1289867179446
3.1428554518623524,-9.664275091255478,9.582613496831447,22.009361164525625
3.2685696699368463,-10.189270029813757,10.106631757157286,22.88973561110665
3.3942838880113406,-10.731531535959084,10.649029244956356,23.770110057687678
3.5199981060858345,-11.292358172381153,11.212641641629364,24.6504845042687
3.645712324160329,-11.873062152193617,11.790722859892549,25.530858950849726
3.7714265422348228,-12.475767444665543,12.395660697508038,26.411233397430752
3.897140760309317,-13.102087988191336,13.021409071666216,27.291607844011775
4.022854978383811,-13.754377802380976,13.674155567608496,28.1719822905928
4.148569196458305,-14.435363650904884,14.355525058824638,29.052356737173827
4.274283414532799,-15.148182730144622,15.06937682281302,29.93273118375485
4.399997632607294,-15.902699840972193,15.826063226881345,30.813105630335876
4.5257118506817875,-16.714297087939777,16.63692690112496,31.693480076916902
4.651426068756281,-17.587961510674926,17.514017020526396,32.57385452349793
4.777140286830775,-18.527916067072603,18.453009638766456,33.45422897007895
4.90285450490527,-19.538961199585884,19.4643937260593,34.334603416659974
5.028568722979764,-20.624561148583005,20.55066167243072,35.214977863241
5.154282941054258,-21.78825064871794,21.712900524112925,36.095352309822026
5.279997159128752,-23.031443986975166,22.95819327425883,36.97572675640305
5.405711377203246,-24.354640138966346,24.280151290949675,37.85610120298408
5.5314255952777405,-25.755500244242562,25.68063466640627,38.7364756495651
5.657139813352234,-27.228947368476305,27.153362284393076,39.61685009614612
5.782854031426728,-28.766048143567204,28.689060305012248,40.49722454272715
5.908568249501222,-30.353776423616292,30.27297251059877,41.377598989308176
6.034282467575716,-31.974685288427338,31.893603818531652,42.2579734358892
6.159996685650211,-33.60697319079298,33.52228955118101,43.13834788247023
6.285710903724705,-35.225328144598066,35.13651811631529,44.01872232905125
6.411425121799199,-36.80212826748156,36.70954324931364,44.89909677563228
6.537139339873693,-38.309130865083965,38.21287083550739,45.7794712222133
6.662853557948187,-39.72032678209668,39.63196800456591,46.659845668794325
