s_abs,Reference κ(s) integral,Polyline-κ baseline,Chord–Sagitta baseline (const κ)
0.0,0.0,0.0,0.0
0.1665640094350541,-0.6201321371181929,0.46901093708127045,0.43359925415017075
0.3331280188701082,-1.2749194582360566,1.123253891072389,0.8671985083003415
0.49969202830516224,-1.9658777081658743,1.8152050091812768,1.3007977624505123
0.6662560377402164,-2.694559599766274,2.543578058776859,1.734397016600683
0.8328200471752705,-3.461643127086072,3.3104949246722226,2.1679962707508538
0.9993840566103245,-4.26729344997239,4.11660214940613,2.6015955249010245
1.1659480660453787,-5.110068250460962,4.958627875887791,3.0351947790511953
1.3325120754804327,-5.986897356079626,5.834972914579343,3.468794033201366
1.4990760849154867,-6.891979670649537,6.738813905188828,3.902393287351537
1.665640094350541,-7.815751164536818,7.661370710020813,4.3359925415017075
1.832204103785595,-8.743534471916849,8.586410565446679,4.769591795651879
1.998768113220649,-9.653799340158454,9.49358288631439,5.203191049802049
2.165332122655703,-10.516313041471868,10.351849983072235,5.636790303952219
2.3318961320907574,-11.295108062068262,11.150784257356193,6.070389558102391
2.498460141525811,-12.146570755133476,12.011924706659505,6.503988812252562
2.6650241509608654,-13.178155203681587,13.044430082537698,6.937588066402732
2.8315881603959197,-14.400098954437789,14.26650288614595,7.371187320552902
2.9981521698309734,-15.80794527415977,15.671736437059115,7.804786574703074
3.1647161792660277,-17.376824394348905,17.234835318881032,8.238385828853245
3.331280188701082,-19.05827504269692,18.908661162688322,8.671985083003415
3.4978441981361357,-20.785103045036877,20.62673643958268,9.105584337153585
3.66440820757119,-22.481961450482306,22.315395376908537,9.539183591303757
3.830972217006244,-24.076942140025867,23.89899423976873,9.972782845453928
3.997536226441298,-25.48175372429099,25.3044193136276,10.406382099604098
4.164100235876353,-26.69300145619394,26.518080493739184,10.839981353754268
4.330664245311406,-27.731813310312468,27.5590272642757,11.273580607904439
4.49722825474646,-28.617372695574964,28.44631695128192,11.70717986205461
4.663792264181515,-29.366360054902785,29.197114179897994,12.140779116204781
4.830356273616569,-29.993841926421638,29.826110743046286,12.574378370354951
4.996920283051622,-30.51281885644138,30.346349984082618,13.007977624505124
5.163484292486677,-30.934510933769594,30.769143132022137,13.441576878655294
5.330048301921731,-31.269043671240976,31.106020034057618,13.875176132805464
5.496612311356785,-31.54246342016837,31.38845171313585,14.308775386955634
5.663176320791839,-31.820042586605013,31.666931718155862,14.742374641105805
5.829740330226893,-32.11181123343409,31.95931716016522,15.175973895255977
5.996304339661947,-32.423380059957836,32.2715554959873,15.609573149406147
6.1628683490970015,-32.76128537734551,32.61043459972553,16.04317240355632
6.329432358532055,-33.13360945095753,32.984212447739296,16.47677165770649
6.495996367967109,-33.550848757172474,33.40325354067894,16.91037091185666
6.662560377402164,-34.02722455182939,33.88224950142118,17.34397016600683
6.829124386837218,-34.58282413520023,34.441421153149186,17.777569420157
6.995688396272271,-35.247924714767464,35.11280954163753,18.21116867430717
7.162252405707326,-36.07224723938898,35.955311314726686,18.64476792845734
7.32881641514238,-37.19116586046883,37.08462865806667,19.078367182607515
7.495380424577434,-38.69762340425242,38.59604331833097,19.511966436757685
7.661944434012488,-40.62587093424057,40.52207804167968,19.945565690907856
7.828508443447542,-42.95936924747665,42.844164066457516,20.379164945058026
7.995072452882596,-45.60989039430472,45.47560881667671,20.812764199208196
8.16163646231765,-48.42197454482346,48.2636475990877,21.246363453358367
8.328200471752705,-51.20945594033113,51.030346130470306,21.679962707508537
8.494764481187758,-53.805265916742,53.59332596515175,22.113561961658707
8.661328490622813,-55.981028464756115,55.77492153327661,22.547161215808877
8.827892500057867,-57.75011243712721,57.55665841990887,22.98076046995905
8.99445650949292,-59.21381034009575,59.02820715553309,23.41435972410922
9.161020518927975,-60.440751683314154,60.26141124815362,23.847958978259392
9.32758452836303,-61.47828776600994,61.3030533527251,24.281558232409562
9.494148537798083,-62.359782435659476,62.18749007812442,24.715157486559733
9.660712547233137,-63.108394546163126,62.93801589743397,25.148756740709903
9.827276556668192,-63.73960559141786,63.571524497672634,25.582355994860073
9.993840566103245,-64.27560407069078,64.1573928684339,26.015955249010247
10.1604045755383,-65.05642747731783,64.95418531817366,26.449554503160417
10.326968584973354,-66.24422351064437,66.14211057904859,26.883153757310588
10.493532594408407,-67.83848865510828,67.73332094539835,27.316753011460758
10.660096603843462,-69.81326593150204,69.70131573362951,27.75035226561093
10.826660613278516,-72.11499500166808,71.99276452042668,28.1839515197611
10.99322462271357,-74.66587733534087,74.5320655433157,28.61755077391127
11.159788632148624,-77.37218592475331,77.22555649859852,29.05115002806144
11.326352641583679,-80.13727614967618,79.97683432023136,29.48474928221161
11.492916651018731,-82.85487227876204,82.665006571549,29.918348536361783
11.659480660453786,-85.32300744456353,85.13663045461387,30.351947790511954
11.82604466988884,-87.54750279002991,87.36580214087682,30.785547044662124
11.992608679323894,-89.57244248849908,89.39616946795115,31.219146298812294
12.159172688758948,-91.43342550258372,91.26056536224185,31.652745552962465
12.325736698194003,-93.15845037184624,92.98909951178238,32.08634480711264
12.492300707629056,-94.76993979779756,94.60207617955773,32.519944061262805
12.65886471706411,-96.28657892498877,96.12083699133825,32.95354331541298
12.825428726499165,-97.72348009927057,97.55959559435179,33.387142569563146
12.991992735934218,-99.09329603171274,98.93056383736656,33.82074182371332
13.158556745369273,-100.40671395600198,100.24542344066937,34.25434107786349
13.325120754804328,-101.67345303206058,101.5140164501317,34.68794033201366
13.49168476423938,-102.9085343353795,102.74984689674214,35.121539586163834
13.658248773674435,-104.12263302121713,103.96611237101723,35.555138840314
13.82481278310949,-105.32431147985481,105.16869656886524,35.988738094464175
13.991376792544543,-106.521296740815,106.36638668461522,36.42233734861434
14.157940801979597,-107.72075192399316,107.56660548336382,36.855936602764515
14.324504811414652,-108.92947853941438,108.77606690450807,37.28953585691468
14.491068820849705,-110.15407642429645,110.00135496019517,37.723135111064856
14.65763283028476,-111.40108420160581,111.24927694350612,38.15673436521503
14.824196839719814,-112.6771062007397,112.5269449804902,38.5903336193652
14.990760849154867,-113.98893027793208,113.83988757306555,39.02393287351537
15.157324858589922,-115.34363969639655,115.19546862305333,39.45753212766554
15.323888868024977,-116.74872101964077,116.6002482209432,39.89113138181571
15.49045287746003,-118.19912481948776,118.0455472210596,40.32473063596588
15.657016886895084,-119.66272512579084,119.50922009499442,40.75832989011605
15.823580896330139,-121.14005362521068,120.98670679553057,41.19192914426622
