s_abs,Reference κ(s) integral,Polyline-κ baseline,Chord–Sagitta baseline (const κ)
0.0,0.0,0.0,0.0
0.19644063360956013,-0.7503804399100066,0.5753229627969387,0.07443470105720625
0.39288126721912026,-1.6051056526860226,1.4316234497082232,0.1488694021144125
0.5893219008286804,-2.58659868415632,2.4191207846981513,0.22330410317161875
0.7857625344382405,-3.7212943285261924,3.5557073462426665,0.297738804228825
0.9822031680478006,-5.041032759167515,4.878708806732699,0.3721735052860312
1.1786438016573608,-6.585114107662094,6.429391293097566,0.4466082063432375
1.375084435266921,-8.39834187013098,8.245504765643936,0.5210429074004437
1.571525068876481,-10.526216554453228,10.378553254361428,0.59547760845765
1.7679657024860411,-13.003766831551372,12.85661559715554,0.6699123095148563
1.9644063360956012,-15.829519933715739,15.672592361092024,0.7443470105720624
2.1608469697051613,-18.922859300217116,18.74424909944775,0.8187817116292687
2.3572876033147216,-22.071196450386108,21.852021916852955,0.893216412686475
2.5537282369242815,-24.912816068449214,24.643882352018295,0.9676511137436812
2.750168870533842,-27.013574457467513,26.718545961541835,1.0420858148008874
2.9466095041434017,-28.23280629363832,28.055418345482035,1.1165205158580938
3.143050137752962,-29.439116125869273,29.268507328510562,1.1909552169153
3.3394907713625224,-30.771750068734942,30.60213133785386,1.265389917972506
3.5359314049720822,-32.23879052995644,32.07032927154348,1.3398246190297125
3.7323720385816426,-33.849426237187664,33.68227269527644,1.4142593200869187
3.9288126721912024,-35.61372973176497,35.44797171951984,1.4886940211441249
4.125253305800762,-37.542328419056176,37.3779165195948,1.5631287222013313
4.321693939410323,-39.64592200213709,39.48257661359083,1.6375634232585374
4.518134573019883,-41.93459662032263,41.772577470918506,1.7119981243157436
4.714575206629443,-44.41691102295149,44.24715670058246,1.78643282537295
4.911015840239004,-47.00302900995951,46.805076922604286,1.8608675264301562
5.107456473848563,-49.480832441515325,49.28294012443106,1.9353022274873624
5.303897107458123,-51.844336390993206,51.646207865104294,2.0097369285445685
5.500337741067684,-54.09774650238779,53.90124435400668,2.0841716296017747
5.696778374677244,-56.24688577945281,56.05002915660934,2.1586063306589813
5.8932190082868035,-58.29888089756338,58.10349157070071,2.2330410317161875
6.089659641896364,-60.26157108136403,60.06757627061493,2.3074757327733937
6.286100275505924,-62.143793534207646,61.95042823793454,2.3819104338306
6.482540909115484,-63.954886046477824,63.76320028065028,2.456345134887806
6.678981542725045,-65.71559349112242,65.53693003042214,2.530779835945012
6.875422176334604,-67.52046266888752,67.34223729215925,2.6052145370022184
7.0718628099441645,-69.37750538279253,69.19676723121574,2.679649238059425
7.268303443553725,-71.26978279752886,71.08697507570602,2.754083939116631
7.464744077163285,-73.17816942836876,72.99286069976027,2.8285186401738374
7.661184710772845,-75.08243844637907,74.89458359307913,2.9029533412310435
7.857625344382405,-76.9622580298023,76.77196696419092,2.9773880422882497
8.054065977991966,-78.79823211190315,78.60589351353373,3.051822743345456
8.250506611601525,-80.57302213210578,80.3779115469207,3.1262574444026625
8.446947245211085,-82.26454943090036,82.06674867153197,3.2006921454598687
8.643387878820645,-83.85185829116467,83.65531480902166,3.275126846517075
8.839828512430206,-85.34982351788564,85.1556994631946,3.349561547574281
9.036269146039766,-86.77333538181936,86.58089612625069,3.423996248631487
9.232709779649326,-88.13568996081311,87.94443830096164,3.4984309496886934
9.429150413258887,-89.44911591111543,89.25901797092246,3.5728656507459
9.625591046868447,-90.72502907445602,90.53626819167111,3.647300351803106
9.822031680478007,-91.97438176277312,91.78762221076066,3.7217350528603124
10.018472314087566,-93.20802804450402,93.02659465779745,3.7961697539175185
10.214912947697126,-94.48194037561146,94.31702182273622,3.8706044549747247
10.411353581306686,-95.91064800581036,95.74515388293125,3.945039156031931
10.607794214916247,-97.49215173554529,97.3253328539432,4.019473857089137
10.804234848525807,-99.21417692781449,99.04514388951077,4.093908558146343
11.000675482135367,-101.05919548241754,100.88731643944054,4.168343259203549
11.197116115744928,-103.00495768859058,102.83010352035558,4.242777960260756
11.393556749354488,-105.02566106540617,104.84662749811956,4.317212661317963
11.589997382964048,-107.09321205565297,106.91141599029285,4.391647362375169
11.786438016573607,-109.17891771600875,108.9866006818747,4.466082063432375
11.982878650183167,-111.20440747943695,111.0043843059486,4.540516764489581
12.179319283792728,-113.11281337756417,112.91436375374204,4.614951465546787
12.375759917402288,-114.91876893110998,114.72266434316518,4.6893861666039935
12.572200551011848,-116.63516925080086,116.43994979330762,4.7638208676612
12.768641184621409,-118.27373696582909,118.0800546902272,4.838255568718406
12.965081818230969,-119.84467419194523,119.6520590568799,4.912690269775612
13.16152245184053,-121.35710114420718,121.16539628058081,4.987124970832818
13.35796308545009,-122.81920157374951,122.62855687753675,5.061559671890024
13.554403719059648,-124.2383488578107,124.04850941407007,5.135994372947231
13.750844352669208,-125.62072600078633,125.43109930339521,5.210429074004437
13.947284986278769,-126.97071770460462,126.78387756521268,5.284863775061644
14.143725619888329,-128.30786638284567,128.12400169586346,5.35929847611885
14.34016625349789,-129.65453471774703,129.47363193022477,5.433733177176056
14.53660688710745,-131.0338763611871,130.85652512628576,5.508167878233262
14.73304752071701,-132.47144001657418,132.29808673097935,5.5826025792904685
14.92948815432657,-133.99739013469434,133.82899206793655,5.657037280347675
15.12592878793613,-135.64933194015777,135.48789896191852,5.731471981404881
15.32236942154569,-137.4764864208539,137.3241704642582,5.805906682462087
15.51881005515525,-139.547346154202,139.40707047293253,5.880341383519293
15.71525068876481,-141.94465430338042,141.79967770690882,5.954776084576499
15.91169132237437,-144.6410639576018,144.48667464496845,6.029210785633706
16.108131955983932,-147.55736128030742,147.38645593113168,6.103645486690912
16.30457258959349,-150.5734882273588,150.3827345043634,6.178080187748118
16.50101322320305,-153.53937880476428,153.3286033430662,6.252514888805325
16.69745385681261,-156.30695903689522,156.08083900528104,6.326949589862531
16.89389449042217,-158.76299678608694,158.52864707680317,6.401384290919737
17.090335124031732,-160.84591158925807,160.60992781537877,6.4758189919769436
17.28677575764129,-162.548907461748,162.3294579489869,6.55025369303415
17.483216391250853,-163.99144868434269,163.78633944463172,6.624688394091356
17.67965702486041,-165.28491541469154,165.08766966756647,6.699123095148562
17.876097658469973,-166.4912033621697,166.30018486066734,6.773557796205768
18.072538292079532,-167.65720716827195,167.47155861227773,6.847992497262974
18.26897892568909,-168.82385445098586,168.6438643080448,6.922427198320181
18.465419559298653,-170.03243013011314,169.85849154127752,6.996861899377387
18.66186019290821,-171.33095634462904,171.16613896989085,7.071296600434593
18.858300826517773,-172.78377414887242,172.6320040028322,7.1457313014918
19.05474146012733,-174.48742465939642,174.3439481559461,7.220166002549006
19.251182093736894,-176.49440857947386,176.34149418929934,7.294600703606212
19.447622727346452,-178.73635990748843,178.57208161106774,7.3690354046634186
19.644063360956014,-181.12632336062404,180.94287701154977,7.443470105720625
