s_norm,s_abs,kappa_pred,theta_pred_deg
0.0,0.0,-0.08081581332532775,0.0
0.005025125628140704,0.1378597008979781,-0.08410421876215814,-0.6513334452421023
0.010050251256281407,0.2757194017959562,-0.08752781096601911,-1.3291751835789407
0.01507537688442211,0.41357910269393433,-0.09107731339167392,-2.0345563887201052
0.020100502512562814,0.5514388035919124,-0.09473017346265365,-2.7683825287757076
0.02512562814070352,0.6892985044898906,-0.09843874522018743,-3.5312818304969413
0.03015075376884422,0.8271582053878687,-0.10210283286578044,-4.323298635949242
0.035175879396984924,0.9650179062858468,-0.10551391871024435,-5.143258057387209
0.04020100502512563,1.1028776071838249,-0.1082798578144878,-5.987612956380344
0.04522613065326633,1.2407373080818032,-0.10975867745761021,-6.848732061056371
0.05025125628140704,1.3785970089797812,-0.10916711802403906,-7.713355301899473
0.05527638190954774,1.5164567098777593,-0.10620703682904346,-8.563951730489476
0.06030150753768844,1.6543164107757373,-0.10217817757354672,-9.38694611095596
0.06532663316582915,1.7921761116737156,-0.10061484820944282,-10.187854760332387
0.07035175879396985,1.9300358125716937,-0.10826836985266829,-11.012815951229316
0.07537688442211056,2.0678955134696717,-0.10569149802328213,-11.857826809663186
0.08040201005025126,2.2057552143676498,-0.09284392255049206,-12.641920517675011
0.08542713567839195,2.343614915265628,-0.08103537211243644,-13.328637580578528
0.09045226130653267,2.4814746161636063,-0.07125869842905859,-13.930106185696891
0.09547738693467336,2.619334317061584,-0.06936180547597236,-14.485471329159619
0.10050251256281408,2.7571940179595624,-0.06519054099107932,-15.016870955272376
0.10552763819095477,2.8950537188575405,-0.06360050826141277,-15.525516974583551
0.11055276381909548,3.0329134197555185,-0.06672699356359292,-16.040231043572135
0.11557788944723618,3.1707731206534966,-0.0705311815820081,-16.582317041092455
0.12060301507537688,3.3086328215514746,-0.07310974576990661,-17.149611013241714
0.12562814070351758,3.4464925224494527,-0.07608871463758597,-17.738853848159906
0.1306532663316583,3.584352223347431,-0.07611995255100142,-18.339985162171907
0.135678391959799,3.7222119242454093,-0.07112766787453041,-18.92152337012342
0.1407035175879397,3.8600716251433873,-0.06286318816925196,-19.45070545184676
0.1457286432160804,3.997931326041365,-0.05239138308616925,-19.905890646910706
0.15075376884422112,4.135791026939343,-0.04387203690361483,-20.286072388322644
0.15577889447236182,4.273650727837322,-0.036672287469638215,-20.60417329834975
0.16080402010050251,4.4115104287352995,-0.03212131484480985,-20.87586602990534
0.1658291457286432,4.549370129633278,-0.029647945548253098,-21.119816899139515
0.1708542713567839,4.687229830531256,-0.027913170831913626,-21.347148168539142
0.17587939698492464,4.825089531429234,-0.02511425515954408,-21.556574128661527
0.18090452261306533,4.962949232327213,-0.025351643444229303,-21.755883619381237
0.18592964824120603,5.10080893322519,-0.02523120204231758,-21.955654978893367
0.19095477386934673,5.238668634123168,-0.0248265594993319,-22.153352577379973
0.19597989949748745,5.376528335021147,-0.028246953873648006,-22.36296055452364
0.20100502512562815,5.514388035919125,-0.0316935230133074,-22.599688845356887
0.20603015075376885,5.6522477368171025,-0.03523768141613373,-22.864026242236033
0.21105527638190955,5.790107437715081,-0.042467089931930824,-23.1709126513233
0.21608040201005024,5.927967138613059,-0.049895416380474636,-23.535688165165922
0.22110552763819097,6.065826839511037,-0.055930710630639466,-23.953636761405658
0.22613065326633167,6.203686540409016,-0.06177918811882154,-24.41851900112603
0.23115577889447236,6.341546241306993,-0.06706710193723528,-24.927383187887504
0.23618090452261306,6.479405942204972,-0.07096417671151889,-25.47252247227579
0.24120603015075376,6.617265643102949,-0.07531664966823717,-26.050242433961497
0.24623115577889448,6.755125344000928,-0.08015559993115845,-26.66426290612219
0.25125628140703515,6.892985044898905,-0.08006814164418347,-27.29704887086471
0.2562814070351759,7.030844745796884,-0.08091197702273839,-27.932822063360742
0.2613065326633166,7.168704446694862,-0.08153500072015336,-28.574388453708742
0.2663316582914573,7.30656414759284,-0.07655297907691634,-29.198739463281477
0.271356783919598,7.4444238484908185,-0.06640596905032592,-29.7633400338326
0.2763819095477387,7.582283549388797,-0.05678740923105556,-30.249878670112157
0.2814070351758794,7.720143250286775,-0.04748805851458136,-30.661703108910277
0.2864321608040201,7.858002951184753,-0.038886216726362784,-31.00282876575668
0.2914572864321608,7.99586265208273,-0.030488508588368823,-31.276816578395465
0.2964824120603015,8.133722352980708,-0.022259501009798777,-31.48513901434438
0.30150753768844224,8.271582053878687,-0.013525389544801855,-31.62646748583155
0.3065326633165829,8.409441754776665,-0.007378055744817598,-31.70902333344802
0.31155778894472363,8.547301455674644,-0.0031937578452172592,-31.75077554317596
0.3165829145728643,8.68516115657262,0.0009004320660473027,-31.75983277995855
0.32160804020100503,8.823020857470599,0.004781109321430041,-31.737394159984063
0.32663316582914576,8.960880558368578,0.00752877125594862,-31.68877764672308
0.3316582914572864,9.098740259266556,0.006255581621247716,-31.6343378680237
0.33668341708542715,9.236599960164535,-1.2174511149647127e-05,-31.60968022145647
0.3417085427135678,9.374459661062511,-0.007915901579769694,-31.640991282029756
0.34673366834170855,9.51231936196049,-0.01686278538113608,-31.738851968463898
0.35175879396984927,9.650179062858468,-0.026316145776662348,-31.909382386369476
0.35678391959798994,9.788038763756447,-0.03463323766230778,-32.15009524215905
0.36180904522613067,9.925898464654425,-0.040731862047085864,-32.44774137661223
0.36683417085427134,10.063758165552402,-0.04483525164976103,-32.78567923812091
0.37185929648241206,10.20161786645038,-0.04956201316054648,-33.15849080583703
0.3768844221105528,10.339477567348359,-0.04940230075305847,-33.54933942938797
